Место в рейтинге,ИНН,Компания,Регион,Категория МСП,Адрес,"Выручка, млн руб.","Чистая прибыль, млн руб.","EBIT, млн руб.","Рентабельность по чистой прибыли, %",Широта,Долгота,Геоточка,Точность геокодирования
116,6453091656,"ООО СЗ ""ШЭЛДОМ""",САРАТОВСКАЯ,Малое предприятие,"410040, САРАТОВСКАЯ, САРАТОВ, ДЕЛОВОЙ, 9, 1",358.66,240.976,215.322,67.18786594546367,51.5694608,45.9890755,"51.569461,45.989076",address
117,7604248060,"ООО ""ЯСУ""",ЯРОСЛАВСКАЯ,Малое предприятие,"150001, ЯРОСЛАВСКАЯ, ЯРОСЛАВЛЬ, НАУМОВА, 67/2, 28",2082.397,240.628,281.615,11.555337430854923,57.607367,39.863989,"57.607367,39.863989",address
118,7706424276,"ООО ""АЭРОДОРСТРОЙ""",МОСКВА,Среднее предприятие,"119180, МОСКВА, БОЛЬШАЯ ПОЛЯНКА, 51А/9, 8, ПОМ 1. К 1, ОФ 5",981.664,239.188,274.369,24.365567037193987,55.625578,37.6063916,"55.625578,37.606392",city_or_region
119,0522017341,"ООО ""МЕГА -СТРОЙ-1""",ДАГЕСТАН,Малое предприятие,"368546, ДАГЕСТАН, КАРАБУДАХКЕНТСКИЙ, ГУБДЕН, АБДУЛАЕВА РАСУЛА, 1А",241.199,238.787,,98.99999585404584,42.5663645,47.5667008,"42.566364,47.566701",address
120,6670459753,"ООО ""ПЛУТОН""",СВЕРДЛОВСКАЯ,Среднее предприятие,"620075, СВЕРДЛОВСКАЯ, ЕКАТЕРИНБУРГ, МАМИНА-СИБИРЯКА, 101, 1241",1876.985,238.48,317.212,12.705482462566298,56.8399461,60.6177845,"56.839946,60.617784",address
121,6679157757,"ООО ""ГП ""СТРОЙТЭК""",СВЕРДЛОВСКАЯ,Малое предприятие,"620144, СВЕРДЛОВСКАЯ, Екатеринбург, СУРИКОВА, 53, 218",4251.197,237.92,301.395,5.596541397634596,56.8065044,60.6025621,"56.806504,60.602562",address
122,7703543324,"ООО ""КОМПАНИЯ Б.В.С.""",МОСКВА,Среднее предприятие,"109428, МОСКВА, РЯЗАНСКИЙ, 10, 18, 11/8",7211.011,235.221,313.89,3.2619697848193545,55.7250685,37.7600718,"55.725068,37.760072",address
123,7453326003,"ПАО ""АПРИ""",ЧЕЛЯБИНСКАЯ,Среднее предприятие,"454091, ЧЕЛЯБИНСКАЯ, ЧЕЛЯБИНСК, КИРОВА, 159, 909",3058.612,231.14,443.327,7.557022597178066,55.1646238,61.4012168,"55.164624,61.401217",address
124,3906205764,"ЗАО ""ДСП""",КАЛИНИНГРАДСКАЯ,Среднее предприятие,"236003, КАЛИНИНГРАДСКАЯ, КАЛИНИНГРАД, МОСКОВСКИЙ, 186, 2",1937.27,230.096,198.537,11.877332534958988,54.71753,20.5300284,"54.71753,20.530028",address
125,2502054250,"ООО ""КМ ЛОГИСТИК""",ПРИМОРСКИЙ,Малое предприятие,"692754, ПРИМОРСКИЙ, АРТЕМ, 2-Я РАБОЧАЯ, 162, 1",391.702,229.421,272.736,58.57029068015992,43.3464204,132.1053688,"43.34642,132.105369",address
126,7709759231,"ООО ""СР.ДЕВЕЛОПМЕНТ""",МОСКВА,Малое предприятие,"105120, МОСКВА, НИЖНЯЯ СЫРОМЯТНИЧЕСКАЯ, 10, 2, I СЕДЬМОЙ ЭТАЖ",1352.293,226.308,228.988,16.735130626276998,55.625578,37.6063916,"55.625578,37.606392",city_or_region
127,6454004416,"ЗАО ""ГЕОТЕХНИКА-С""",САРАТОВСКАЯ,Малое предприятие,"410022, САРАТОВСКАЯ, САРАТОВ, 1-Й ЭНЕРГЕТИКОВ, 25",397.393,226.072,204.303,56.88877257525925,51.4639974,45.9185311,"51.463997,45.918531",address
128,7805562238,"ООО ""СК РАКУРС""",САНКТ-ПЕТЕРБУРГ,Малое предприятие,"192236, САНКТ-ПЕТЕРБУРГ, БЕЛЫ КУНА, 30, А, 25Н",2495.415,226.008,302.159,9.056930410372624,59.9606739,30.1586551,"59.960674,30.158655",city_or_region
129,7722387769,"ООО ""МЕКОНСПРО""",МОСКВА,Малое предприятие,"109518, МОСКВА, 1-Й ГРАЙВОРОНОВСКИЙ, 20, 36, 4 ОФИС 413",565.82,225.948,199.735,39.93284083277368,55.625578,37.6063916,"55.625578,37.606392",city_or_region
