Место в рейтинге,ИНН,Компания,Регион,Категория МСП,Адрес,"Выручка, млн руб.","Чистая прибыль, млн руб.","EBIT, млн руб.","Рентабельность по чистой прибыли, %",Широта,Долгота,Геоточка,Точность геокодирования
313,4825086937,"ООО ""СУ-12 АПК-СТРОЙ""",ЛИПЕЦКАЯ,Среднее предприятие,"398501, ЛИПЕЦКАЯ, ЛИПЕЦКИЙ, 5",1829.433,113.547,4.674,6.206677150789343,52.6457538,39.4554427,"52.645754,39.455443",address
314,8911030766,"ООО ""РГС-СТРОЙ 4""",ЯМАЛО-НЕНЕЦКИЙ,Малое предприятие,"629830, ЯМАЛО-НЕНЕЦКИЙ, ГУБКИНСКИЙ, 57, 109/4",283.869,113.083,,39.8363329563989,64.4730505,76.7005091,"64.47305,76.700509",address
315,0274106224,"ООО ""БПГС""",БАШКОРТОСТАН,Среднее предприятие,"450057, БАШКОРТОСТАН, УФА, ЗАКИ ВАЛИДИ, 73",1104.603,113.007,113.311,10.230553420550189,54.7148851,55.9559976,"54.714885,55.955998",address
316,7725108773,"ООО ""ГРЭМ СЕРВИС ГРУПП""",МОСКВА,Малое предприятие,"115191, МОСКВА, СЕРПУХОВСКИЙ ВАЛ, 17, 1, 9",442.605,112.455,,25.407530416511335,55.7112793,37.6126851,"55.711279,37.612685",address
317,7207012446,"ООО ""ТЕХНИЧЕСКИЙ ЗАКАЗЧИК ""ПАРИТЕТ""",ТЮМЕНСКАЯ,Малое предприятие,"625000, ТЮМЕНСКАЯ, ТЮМЕНЬ, 8 МАРТА, 1, 72",193.72,111.931,91.377,57.77978525707206,57.1540178,65.5459214,"57.154018,65.545921",address
318,7707051002,"ООО ФИРМА ""МОСИНВЕСТ""",МОСКВА,Малое предприятие,"129337, МОСКВА, КРАСНАЯ СОСНА, 30, СТР.3",213.995,111.804,,52.246080515899905,55.8436212,37.6815135,"55.843621,37.681514",address
319,7536158377,"ООО ""АТОМСПЕЦСТРОЙ""",ЗАБАЙКАЛЬСКИЙ,Среднее предприятие,"672027, ЗАБАЙКАЛЬСКИЙ, ЧИТА, БУТИНА, 72, 7",1831.099,111.417,150.771,6.084706506857357,52.0488146,113.5145536,"52.048815,113.514554",address
320,1215014090,"АО ""СЗ ""ПМК-3""",МАРИЙ ЭЛ,Среднее предприятие,"424031, МАРИЙ ЭЛ, ЙОШКАР-ОЛА, ПРОЛЕТАРСКАЯ, 63А",763.688,111.095,145.397,14.547171096049697,56.6474798,47.8791182,"56.64748,47.879118",address
321,2536154479,"ООО ""СПЕЦСТРОЙМОНТАЖ""",ПРИМОРСКИЙ,Малое предприятие,"690080, ПРИМОРСКИЙ, ВЛАДИВОСТОК, ДОБРОВОЛЬСКОГО, 5, 5",749.704,110.956,,14.799974389892546,43.0923202,131.9730122,"43.09232,131.973012",address
322,1633608768,"ООО ""НОКСА""",ТАТАРСТАН,Малое предприятие,"422773, ТАТАРСТАН, ПЕСТРЕЧИНСКИЙ, КУЮКИ, КВАРТАЛ 12, 5, 2",337.453,110.911,111.469,32.867095565901025,55.7044948,49.3607031,"55.704495,49.360703",address
323,3906980731,"ООО ""СМУ-17""",КАЛИНИНГРАДСКАЯ,Малое предприятие,"236043, КАЛИНИНГРАДСКАЯ, КАЛИНИНГРАД, АКСАКОВА, 137",227.654,110.692,,48.622910205838686,54.7113903,20.5869635,"54.71139,20.586964",address
324,4345468069,"ООО ""КЛЕВЕР ДЕВЕЛОПМЕНТ""",КИРОВСКАЯ,Среднее предприятие,"610000, КИРОВСКАЯ, КИРОВ, КАЗАНСКАЯ, 77Б, 2",3169.295,110.682,131.451,3.492322425018813,58.6029943,49.6837869,"58.602994,49.683787",address
325,7447081450,"ООО ""ЦЕНТР УПРАВЛЕНИЯ ПРОЕКТАМИ""",ЧЕЛЯБИНСКАЯ,Малое предприятие,"454080, ЧЕЛЯБИНСКАЯ, ЧЕЛЯБИНСК, ГЕРОЯ РОССИИ ЯКОВЛЕВА А.В., 5, 3",0.076,109.954,26.559,144676.31578947368,55.1719851,61.3683494,"55.171985,61.368349",address
326,5404482221,"ООО СЗ ""СУ-ЗАПАДНОЕ""",НОВОСИБИРСКАЯ,Малое предприятие,"630024, НОВОСИБИРСКАЯ, Новосибирск, ПРИГОРОДНАЯ, 1/3, 2/21",159.027,109.545,54.301,68.88452904223811,54.9738203,82.9235392,"54.97382,82.923539",address
327,2512300970,АО ТСПК,ПРИМОРСКИЙ,Среднее предприятие,"692880, ПРИМОРСКИЙ, ФОКИНО, ЗАВОДСКАЯ, 1Б",1914.217,109.275,194.923,5.7086004355828,42.96928,132.3949536,"42.96928,132.394954",address
328,7604214008,"ООО ""ТЕХНОСТРОЙ""",МОСКВА,Среднее предприятие,"123308, МОСКВА, МНЁВНИКИ, 6, 2/3",3853.858,109.052,148.452,2.8296839167400565,55.7748739,37.4969771,"55.774874,37.496977",address
329,4501175947,"ООО ""МПМ""",КУРГАНСКАЯ,Малое предприятие,"640008, КУРГАНСКАЯ, КУРГАН, ЮРГАМЫШСКАЯ, 3, 12, 1",254.337,109.017,116.424,42.86320904941082,55.4569113,65.3381711,"55.456911,65.338171",address
330,3801095786,"ООО ""РСМП"" ТАНГЕН""",ИРКУТСКАЯ,Малое предприятие,"665806, ИРКУТСКАЯ, АНГАРСК, КОМСОМОЛЬСКАЯ, 10",353.823,108.782,110.512,30.744750906526708,52.592659,103.8683175,"52.592659,103.868318",address
331,9201015388,"ООО ""СЕВСПЕЦСТРОЙ""",СЕВАСТОПОЛЬ,Малое предприятие,"299059, СЕВАСТОПОЛЬ, ГЕРОЕВ БРЕСТА, 33",0.641,108.775,,16969.578783151326,44.5868504,33.4477671,"44.58685,33.447767",address
332,7728050401,"ООО ""ХИМКИ БИЗНЕС ПАРК""",МОСКОВСКАЯ,Малое предприятие,"141402, МОСКОВСКАЯ, ХИМКИ, ЛЕНИНГРАДСКАЯ, 39, 6",679.619,108.69,170.313,15.99278419231952,55.8862634,37.4408317,"55.886263,37.440832",address
333,1830000270,"АО""МСО""",УДМУРТСКАЯ,Среднее предприятие,"427791, УДМУРТСКАЯ, МОЖГА, УСТЮЖАНИНА, 5",207.641,108.237,27.768,52.126988407877064,56.4484711,52.2053659,"56.448471,52.205366",address
334,0274925865,"ООО ""ЛЮКССТРОЙ""",БАШКОРТОСТАН,Среднее предприятие,"450018, БАШКОРТОСТАН, УФА, ДАЯНА МУРЗИНА, 9/1, 2А",2655.448,107.462,151.315,4.046850098363817,54.6718837,55.9189678,"54.671884,55.918968",address
335,7701388112,"ООО ""ПРОМСТРОЙРЕМОНТ""",БЕЛГОРОДСКАЯ,Малое предприятие,"309540, БЕЛГОРОДСКАЯ, СТАРЫЙ ОСКОЛ, Строительная проезд Ш-5, 11, 208",223.71,107.421,,48.01796969290599,51.2333854,37.9353078,"51.233385,37.935308",address
336,0107021081,"ООО ""СТРОИТЕЛЬ""",КРАСНОДАРСКИЙ,Малое предприятие,"350075, КРАСНОДАРСКИЙ, КРАСНОДАР, ИМ. СТАСОВА, 183, 48",511.478,107.041,,20.92778184007914,45.0273988,39.0441624,"45.027399,39.044162",address
337,3328412522,"АО ""ВЛАДИМИР-СОЮЗПРОММОНТАЖ""",ВЛАДИМИРСКАЯ,Малое предприятие,"600005, ВЛАДИМИРСКАЯ, ВЛАДИМИР, ПОЧАЕВСКИЙ ОВРАГ, 1, 1",886.134,106.911,122.748,12.064879578032215,56.1530303,40.3999278,"56.15303,40.399928",address
338,2311194948,"ООО ""СТРОЙТРЕВЛ""",КРАСНОДАРСКИЙ,Среднее предприятие,"350059, КРАСНОДАРСКИЙ, КРАСНОДАР, ЯЛТИНСКАЯ, 39",1089.345,106.314,132.504,9.759442600828939,45.0266497,39.0298568,"45.02665,39.029857",address
339,8615011812,"ООО ""СТРОИТЕЛЬНО-ТОРГОВАЯ КОМПАНИЯ""",ХАНТЫ-МАНСИЙСКИЙ АВТОНОМНЫЙ ОКРУГ - ЮГРА,Малое предприятие,"628240, ХАНТЫ-МАНСИЙСКИЙ АВТОНОМНЫЙ ОКРУГ - ЮГРА, СОВЕТСКИЙ, СОВЕТСКИЙ, ЗАПАДНЫЙ, 1А, 31",788.487,106.303,141.833,13.48189634071329,61.3549695,63.5100004,"61.35497,63.51",address
340,5262325157,"ООО ""МЕЛАРИТ""",НИЖЕГОРОДСКАЯ,Малое предприятие,"603057, НИЖЕГОРОДСКАЯ, НИЖНИЙ НОВГОРОД, НАРТОВА, 2, 13",199.134,105.96,,53.210401036487994,56.2878258,43.9944002,"56.287826,43.9944",address
341,2462201876,"ООО ""КГК""",КРАСНОЯРСКИЙ,Малое предприятие,"660064, КРАСНОЯРСКИЙ, КРАСНОЯРСК, АКАДЕМИКА ВАВИЛОВА, 1, 9, 2",1478.351,105.083,127.803,7.108122495943114,55.9969351,92.9284847,"55.996935,92.928485",address
342,7536167389,"ООО ""СПЕЦТРАНС""",ЗАБАЙКАЛЬСКИЙ,Малое предприятие,"672027, ЗАБАЙКАЛЬСКИЙ, ЧИТА, БУТИНА, 72, 411",940.391,105.078,157.369,11.17386278686206,52.0488146,113.5145536,"52.048815,113.514554",address
343,6163222353,"ООО ""ПФК""",РОСТОВСКАЯ,Малое предприятие,"344000, РОСТОВСКАЯ, Ростов-на-Дону, ЛЕРМОНТОВСКАЯ, 190, 513",273.954,104.928,,38.3013206596728,47.2346141,39.7321596,"47.234614,39.73216",address
344,6646008630,"ЗАО ""ФСК ""ВЫСОТНИК""",СВЕРДЛОВСКАЯ,Малое предприятие,"620028, СВЕРДЛОВСКАЯ, ЕКАТЕРИНБУРГ, ТОКАРЕЙ, 24, КВ. 64",333.455,104.897,118.659,31.457617969441152,56.8380426,60.5613113,"56.838043,60.561311",address
345,6501282808,"ООО ""ИМПУЛЬС""",САХАЛИНСКАЯ,Малое предприятие,"694496, САХАЛИНСКАЯ, ОХИНСКИЙ, ОХА, ПРОМЫСЛОВАЯ, 6, 1",1169.031,104.894,144.465,8.972730406635923,53.5877208,142.9443614,"53.587721,142.944361",address
346,7604198109,"ООО СК ""СПЕЦСТРОЙ""",ЯРОСЛАВСКАЯ,Малое предприятие,"150049, ЯРОСЛАВСКАЯ, ЯРОСЛАВЛЬ, ТОЛБУХИНА, 17А, 2-11",1000.629,104.632,,10.456622784268694,57.622044,39.8566605,"57.622044,39.85666",address
347,7453129206,"ООО ""ИБК""",ЧЕЛЯБИНСКАЯ,Малое предприятие,"456320, ЧЕЛЯБИНСКАЯ, МИАСС, МАКЕЕВА, 54",706.224,104.618,144.656,14.813713496001268,55.1679493,60.1620625,"55.167949,60.162062",address
348,7714872296,"ООО ""БУТА КОНСТРАКШН""",МОСКВА,Малое предприятие,"129515, МОСКВА, АКАДЕМИКА КОРОЛЕВА, 13, 1, 2/ПОМ IIIА/К 5/О 5",2618.932,104.609,80.923,3.9943381500550608,55.625578,37.6063916,"55.625578,37.606392",city_or_region
349,6147040074,"ООО ""СТРОИТЕЛЬ""",РОСТОВСКАЯ,Малое предприятие,"347801, РОСТОВСКАЯ, КАМЕНСК-ШАХТИНСКИЙ, 4-Я ЛИНИЯ, 2",1397.593,104.438,,7.472704857565829,48.3168474,40.3105939,"48.316847,40.310594",address
350,9715334294,"ООО ""РЕМЭКСПО СЛТ""",МОСКВА,Малое предприятие,"127106, МОСКВА, ГОСТИНИЧНАЯ, 9, 1 ПОМ VIII ОФ 5",2293.597,104.376,101.476,4.550755865132366,55.625578,37.6063916,"55.625578,37.606392",city_or_region
351,7705989107,"ООО ""СПК-ИНЖИНИРИНГ""",МОСКВА,Малое предприятие,"129515, МОСКВА, АКАДЕМИКА КОРОЛЕВА, 13, 1, 6 ПОМ V КОМ 32",10800.142,104.009,529.679,0.9630336341874024,55.625578,37.6063916,"55.625578,37.606392",city_or_region
352,5902168924,"ООО ""ЭЛЕКТРОКОМ""",ПЕРМСКИЙ,Малое предприятие,"614031, ПЕРМСКИЙ, ПЕРМЬ, ДОКУЧАЕВА, 42, 14",249.988,103.487,,41.3967870457782,58.0358401,56.1434569,"58.03584,56.143457",address
353,6315018549,"ООО ""ЖИЛСТРОЙ""",САМАРСКАЯ,Малое предприятие,"443013, САМАРСКАЯ, САМАРА, КОММУНИСТИЧЕСКАЯ, 105, 5",374.445,103.471,118.674,27.63316374901521,53.2016523,50.1443382,"53.201652,50.144338",address
354,7704592660,"ООО ""МЕГАСТРОЙ""",МОСКВА,Среднее предприятие,"129075, МОСКВА, 2-Я НОВООСТАНКИНСКАЯ, 12, 6/1",2080.285,103.218,134.229,4.961723994548824,55.8151021,37.6250079,"55.815102,37.625008",address
355,6322037052,"ООО ""КОВЧЕГ""",САМАРСКАЯ,Среднее предприятие,"445009, САМАРСКАЯ, ТОЛЬЯТТИ, ПОБЕДЫ, 4",1669.379,102.738,151.102,6.154264549871539,53.5225716,49.4279928,"53.522572,49.427993",address
356,1215003701,"АО СЗ ""СПП ""САЛЮТ""",МАРИЙ ЭЛ,Малое предприятие,"424033, МАРИЙ ЭЛ, ЙОШКАР-ОЛА, ВОСКРЕСЕНСКАЯ, 34",208.634,102.597,42.473,49.17558978881678,56.6320794,47.9035092,"56.632079,47.903509",address
357,5903044618,"ООО ""ГРАН.АР-СТРОЙ""",ПЕРМСКИЙ,Малое предприятие,"614087, ПЕРМСКИЙ, ПЕРМЬ, КОСМОНАВТОВ, 120, 4",562.371,102.48,106.681,18.22284577263052,57.9910071,56.191936,"57.991007,56.191936",address
358,6167138198,"ООО ""БАЗАЛЬТ""",РОСТОВСКАЯ,Малое предприятие,"344072, РОСТОВСКАЯ, РОСТОВ-НА-ДОНУ, ВЕРЕСАЕВА, 101/3, 1, 9",641.519,102.219,112.533,15.933900632717036,47.2398802,39.7997895,"47.23988,39.79979",address
359,3456002465,"ООО ""РЕМСТРОЙМОНТАЖ""",ВОЛГОГРАДСКАЯ,Малое предприятие,"403343, ВОЛГОГРАДСКАЯ, МИХАЙЛОВКА, ПРОМЫШЛЕННАЯ, 2",249.896,102.025,135.124,40.82698402535455,50.0906413,43.2347341,"50.090641,43.234734",address
360,2130136091,"ООО ""СМУ-158""",ЧУВАШСКАЯ РЕСПУБЛИКА -,Малое предприятие,"428018, ЧУВАШСКАЯ РЕСПУБЛИКА -, ЧЕБОКСАРЫ, МОСКОВСКИЙ, 17, 1, 3",151.548,101.856,76.658,67.21038878771083,56.1451477,47.2223102,"56.145148,47.22231",address
361,3908603496,"ООО ""ЗЕВА""",КАЛИНИНГРАДСКАЯ,Малое предприятие,"236039, КАЛИНИНГРАДСКАЯ, КАЛИНИНГРАД, ЭЛЬБЛОНГСКАЯ, 33, 28",308.726,101.733,105.337,32.95252100568141,54.6988796,20.4948835,"54.69888,20.494884",address
362,9715414870,"ООО ""СПГ""",МОСКВА,Малое предприятие,"111024, МОСКВА, 2-Я ЭНТУЗИАСТОВ, 5, 2/Н",1044.27,101.431,,9.713101017935974,55.7493072,37.7273234,"55.749307,37.727323",address
363,3651009168,"ООО ""ТЕХСТРОЙПРОМ""",ВОРОНЕЖСКАЯ,Малое предприятие,"396070, ВОРОНЕЖСКАЯ, НОВОВОРОНЕЖ, ЗАВОДСКОЙ, 8",412.798,101.158,133.796,24.505448185310975,51.3099367,39.2298469,"51.309937,39.229847",address
364,7725813655,"ООО ""КОМПЛЕКСНОЕ СТРОИТЕЛЬСТВО""",МОСКВА,Малое предприятие,"115191, МОСКВА, СЕРПУХОВСКИЙ ВАЛ, 17, 1, 17",325.05,101.134,,31.11336717428088,55.7112793,37.6126851,"55.711279,37.612685",address
365,2311011320,"АО ""ЖБИ №1""",КРАСНОДАРСКИЙ,Среднее предприятие,"350051, КРАСНОДАРСКИЙ, КРАСНОДАР, ИМ. РЕПИНА, 22, ОФИС 54",342.967,100.988,137.577,29.445398536885474,45.0351532,38.9772396,"45.035153,38.97724",city_or_region
366,2304016990,"АО ""КУРОРТСТРОЙ""",КРАСНОДАРСКИЙ,Малое предприятие,"353460, КРАСНОДАРСКИЙ, Геленджик, 12",1239.967,100.65,132.909,8.117151504838436,44.5604048,38.0770652,"44.560405,38.077065",address
367,7203138261,"ООО СЗ ""ТЮМЕНГАЗСТРОЙ""",ТЮМЕНСКАЯ,Среднее предприятие,"625003, ТЮМЕНСКАЯ, Тюмень, КИРОВА, 43, 1, МАНСАРДНЫЙ",133.843,100.594,29.538,75.15820775087228,57.1551186,65.528273,"57.155119,65.528273",address
368,4025449758,"ООО ""ЦБ""",КАЛУЖСКАЯ,Малое предприятие,"249035, КАЛУЖСКАЯ, ОБНИНСК, МАРКСА, 20, 21",839.645,99.877,133.491,11.895146162961728,55.1144177,36.5929749,"55.114418,36.592975",address
369,7801648847,"ООО ""КОСОУР""",САНКТ-ПЕТЕРБУРГ,Малое предприятие,"199034, САНКТ-ПЕТЕРБУРГ, 16-Я В.О., 7, Б, 12/16-Н",290.315,99.637,157.259,34.320307252467146,59.9422016,30.2849636,"59.942202,30.284964",address
370,7731646956,"ООО ""КАСТА""",МОСКВА,Малое предприятие,"119270, МОСКВА, НОВОЛУЖНЕЦКИЙ, 9, 6",321.092,99.425,99.748,30.96464564673053,55.7194292,37.5624222,"55.719429,37.562422",address
371,6453133218,"ООО ""ЭВЕРЕСТ-СИ""",САРАТОВСКАЯ,Малое предприятие,"410086, САРАТОВСКАЯ, САРАТОВ, БУРОВАЯ, 32А",573.031,99.382,,17.343215288527148,51.5966994,45.902826,"51.596699,45.902826",address
372,3525048992,"АО ""АПСК ""ГСА""",ЯРОСЛАВСКАЯ,Малое предприятие,"150000, ЯРОСЛАВСКАЯ, ЯРОСЛАВЛЬ, РЕСПУБЛИКАНСКАЯ, 81, 2, 49",1487.117,99.325,181.37,6.679030634442347,57.6230096,39.8788835,"57.62301,39.878884",address
373,7716576574,"ООО ""СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""РУССТРОЙГРУП""",МОСКОВСКАЯ,Среднее предприятие,"141009, МОСКОВСКАЯ, МЫТИЩИ, КОЛОНЦОВА, 5, 2, 604",2717.812,99.084,148.413,3.6457267831623383,55.9162403,37.765921,"55.91624,37.765921",address
374,5904350618,"ООО ""СК ""ВЕГА""",ПЕРМСКИЙ,Малое предприятие,"614016, ПЕРМСКИЙ, ПЕРМЬ, КУЙБЫШЕВА, 50",1366.296,98.988,67.791,7.244989372727432,58.0027308,56.239225,"58.002731,56.239225",address
375,7604226395,"ООО ""ХАЙТЕК ФАСАД""",ЯРОСЛАВСКАЯ,Малое предприятие,"150010, ЯРОСЛАВСКАЯ, ЯРОСЛАВЛЬ, ТОРМОЗНОЕ, 120, 33",497.135,98.33,124.238,19.77933559294759,57.5478433,39.9650703,"57.547843,39.96507",address
376,5001107429,"ООО ""МОСТЫ И ТОННЕЛИ""",МОСКОВСКАЯ,Малое предприятие,"140014, МОСКОВСКАЯ, ЛЮБЕРЦЫ, ЭЛЕКТРИФИКАЦИИ, 3, 3, 12",1087.278,98.271,149.914,9.038258844564131,55.6701916,37.9190291,"55.670192,37.919029",address
377,1326219505,"ООО ""САРАНСКТЕХПРИБОР""",МОРДОВИЯ,Малое предприятие,"430030, МОРДОВИЯ, САРАНСК, ВАСЕНКО, 38А",2854.8,98.159,117.831,3.4383844752697215,54.1946774,45.1634118,"54.194677,45.163412",address
378,2317057426,"ООО ""СДС""",КРАСНОДАРСКИЙ,Малое предприятие,"354340, КРАСНОДАРСКИЙ, СОЧИ, ГАСТЕЛЛО, 28, 3/3",1625.527,97.423,119.935,5.9933178593772976,43.4456915,39.9139907,"43.445692,39.913991",address
379,2543121643,"ООО ""ЭСВ""",ПРИМОРСКИЙ,Малое предприятие,"690105, ПРИМОРСКИЙ, ВЛАДИВОСТОК, АННЫ ЩЕТИНИНОЙ, 39, 1",2006.497,96.795,120.24,4.8240789794353045,43.1651581,131.9548107,"43.165158,131.954811",address
380,8602194090,"ООО ""ССС""",ХАНТЫ-МАНСИЙСКИЙ АВТОНОМНЫЙ ОКРУГ - ЮГРА,Среднее предприятие,"ХАНТЫ-МАНСИЙСКИЙ АВТОНОМНЫЙ ОКРУГ - ЮГРА, НИЖНЕВАРТОВСК, ИНДУСТРИАЛЬНАЯ, 105",3003.048,95.96,121.826,3.1954201198249246,60.9598958,76.51628,"60.959896,76.51628",address
381,4414006950,"ООО "" БАРС """,КОСТРОМСКАЯ,Малое предприятие,"156012, КОСТРОМСКАЯ, КОСТРОМА, КОСТРОМСКАЯ, 105",507.904,95.754,99.355,18.852775327620968,57.8069838,40.9995772,"57.806984,40.999577",address
382,6317106247,"ООО ""СМУ - 5""",САМАРСКАЯ,Малое предприятие,"443086, САМАРСКАЯ, САМАРА, ВРУБЕЛЯ, 17, Н5",383.989,95.587,122.999,24.89316100200787,53.2189117,50.1696805,"53.218912,50.16968",address
383,2540212331,"ООО ""ЗИМА ЮЖНАЯ""",ПРИМОРСКИЙ,Среднее предприятие,"690002, ПРИМОРСКИЙ, ВЛАДИВОСТОК, 2-Я КРУГОВАЯ, 14, 100",34.277,95.5,95.512,278.6124806721709,43.1321011,131.908855,"43.132101,131.908855",address
384,7723434605,"ООО СК ""ПЕРСПЕКТИВА""",МОСКВА,Среднее предприятие,"109382, МОСКВА, ЛЮБЛИНСКАЯ, 64",3467.253,95.407,213.5,2.7516595991120347,55.6634127,37.7313268,"55.663413,37.731327",address
385,3801993892,"ООО ""АСМ""",ИРКУТСКАЯ,Среднее предприятие,"665821, ИРКУТСКАЯ, АНГАРСК, КАРЛА МАРКСА, 74А, 204",2154.667,95.171,119.831,4.41697023252317,52.524911,103.901069,"52.524911,103.901069",address
386,0702007173,"ООО ""ЗОЛЬСКАЯ ПМК-1""",КАБАРДИНО-БАЛКАРСКАЯ,Малое предприятие,"361710, КАБАРДИНО-БАЛКАРСКАЯ, ЗОЛЬСКИЙ, МАЛКА, БОЛЬНИЧНАЯ, 6",42.333,94.708,,223.72144662556397,43.4691791,43.5805188,"43.469179,43.580519",city_or_region
387,6678068222,"ООО СУ ""АРСЕНАЛ""",СВЕРДЛОВСКАЯ,Среднее предприятие,"623702, СВЕРДЛОВСКАЯ, БЕРЕЗОВСКИЙ, АЛЕКСАНДРОВСКИЙ, 3, 1",647.757,94.623,125.867,14.607792737091224,56.895058,60.8345604,"56.895058,60.83456",address
388,2508073972,"ООО ""ТРАНССТРОЙ""",ПРИМОРСКИЙ,Малое предприятие,"692941, ПРИМОРСКИЙ, НАХОДКА, БАЗОВАЯ, 22",604.277,94.31,92.031,15.607080858612854,42.769419,133.0554148,"42.769419,133.055415",address
389,2801048449,"АО СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""АНК""",АМУРСКАЯ,Малое предприятие,"675028, АМУРСКАЯ, БЛАГОВЕЩЕНСК, ПРОМЫШЛЕННАЯ, 7, 15",268.119,94.237,115.552,35.14745318310153,50.2932878,127.5026555,"50.293288,127.502656",address
390,6166051748,"ООО ""СМИ""",СТАВРОПОЛЬСКИЙ,Малое предприятие,"356805, СТАВРОПОЛЬСКИЙ, БУДЕННОВСКИЙ, БУДЕННОВСК, 37",360.682,93.588,57.161,25.94751054945908,44.7527364,44.1053632,"44.752736,44.105363",address
391,4205243072,"ООО ""СКС""",НОВОСИБИРСКАЯ,Среднее предприятие,"630096, НОВОСИБИРСКАЯ, НОВОСИБИРСК, СТАНЦИОННАЯ, 60/12, 110",1125.334,93.472,133.293,8.3061562167321,54.9974065,82.8195595,"54.997406,82.81956",address
392,6437000933,"ООО ""СОЮЗ""",САРАТОВСКАЯ,Малое предприятие,"410086, САРАТОВСКАЯ, САРАТОВ, ПЕСЧАНО-УМЕТСКИЙ, 10, -",119.806,93.405,103.796,77.96354105804384,51.5984307,45.8667846,"51.598431,45.866785",address
393,7451349069,"ООО  ""СТРАТЕГИЯ""",ЧЕЛЯБИНСКАЯ,Малое предприятие,"454080, ЧЕЛЯБИНСКАЯ, ЧЕЛЯБИНСК, ЛЕНИНА, 89, 215 Б",898.822,93.365,88.175,10.387484952526751,55.1586081,61.3732043,"55.158608,61.373204",address
394,7708777679,"ООО ""ПГСИ""",МОСКВА,Малое предприятие,"119180, МОСКВА, БОЛЬШАЯ ПОЛЯНКА, 7/10, 3, 4/9/5",509.599,93.128,119.144,18.274761135716513,55.625578,37.6063916,"55.625578,37.606392",city_or_region
395,5321072550,"ООО ""ГЛОРИЯ""",НОВГОРОДСКАЯ,Среднее предприятие,"173016, НОВГОРОДСКАЯ, ВЕЛИКИЙ НОВГОРОД, МЕНДЕЛЕЕВА, 16",1063.125,93.082,119.649,8.755508524397413,58.5391786,31.2506522,"58.539179,31.250652",address
396,7722624201,"ООО ""СВЯЗЬ КОННЕКТ""",МОСКВА,Малое предприятие,"111024, МОСКВА, 2-Й КАБЕЛЬНЫЙ, 1, ЭТАЖ 3",523.918,92.824,70.158,17.717276367675858,55.7479161,37.7162458,"55.747916,37.716246",address
397,1655279884,"ООО ""УРБАН КОНСТРАКШН""",ТАТАРСТАН,Малое предприятие,"420132, ТАТАРСТАН, КАЗАНЬ, АДОРАТСКОГО, 29Д, 301",2065.78,92.374,107.71,4.471628150141835,55.8385037,49.1448983,"55.838504,49.144898",address
398,7203151985,"АО СЗ ""АКВА""",ТЮМЕНСКАЯ,Малое предприятие,"625034, ТЮМЕНСКАЯ, ТЮМЕНЬ, ДАМБОВСКАЯ, 25, 1, 24",269.694,92.36,132.118,34.246219789835884,57.1532061,65.6056168,"57.153206,65.605617",address
399,7805777138,"ООО ""МАВИС-ГРАД""",САНКТ-ПЕТЕРБУРГ,Малое предприятие,"198096, САНКТ-ПЕТЕРБУРГ, НА ТУРУХТАННЫЕ ОСТРОВА, 6, 5, 1-Н, ЧАСТЬ 40",1852.618,92.009,101.905,4.966431288047509,59.8681744,30.2517368,"59.868174,30.251737",address
400,7810791610,"ООО ""ВИЛИЯ""",САНКТ-ПЕТЕРБУРГ,Малое предприятие,"197198, САНКТ-ПЕТЕРБУРГ, ПЕТРОВСКАЯ, 6, 1, 44Н",823.734,91.648,95.914,11.125921717447623,59.9629326,30.2464504,"59.962933,30.24645",address
401,3019016289,"ООО ""ПРОГРЕСС""",АСТРАХАНСКАЯ,Малое предприятие,"414056, АСТРАХАНСКАЯ, АСТРАХАНЬ, САВУШКИНА, 4Б, 11",637.092,91.596,167.529,14.377201408901696,46.3761228,48.0495667,"46.376123,48.049567",address
402,6663071832,"ЗАО ""СМУ-25 УМС""",СВЕРДЛОВСКАЯ,Среднее предприятие,"620137, СВЕРДЛОВСКАЯ, ЕКАТЕРИНБУРГ, БОРОВАЯ, 29, 3",1024.003,91.407,66.236,8.926438692074145,56.8641319,60.6482032,"56.864132,60.648203",address
403,9723078140,"ООО ""ДЕНДРОСТРОЙ""",МОСКВА,Среднее предприятие,"115088, МОСКВА, ШАРИКОПОДШИПНИКОВСКАЯ, 38, 1, 2Н",2600.356,91.023,130.565,3.5004053291164747,55.7147571,37.6770296,"55.714757,37.67703",address
404,7704397203,"ООО ""АВУАР""",МОСКОВСКАЯ,Малое предприятие,"144000, МОСКОВСКАЯ, Электросталь, МАЯКОВСКОГО, 6А, 2",155.954,90.664,,58.13509111661131,55.7953003,38.4422032,"55.7953,38.442203",address
405,7733389126,"ООО ""ОПУС""",МОСКВА,Малое предприятие,"125371, МОСКВА, ВОЛОКОЛАМСКОЕ, 114, 1, 2/1",193.416,90.116,120.189,46.591802125987506,55.8294901,37.4164111,"55.82949,37.416411",address
406,7714299413,"ООО ""ДЕЛЬТА КОНСТРАКШН""",МОСКВА,Среднее предприятие,"109428, МОСКВА, РЯЗАНСКИЙ, 8А, 1, VII, К.47 (ВН500) Т/Э",172.356,89.258,52.752,51.78699900206549,55.625578,37.6063916,"55.625578,37.606392",city_or_region
